text,intent
reject cuti,approval
tolong tampilin daftar approval dong,approval
overtime approval,approval
mau approve klaim reimbursement,approval
mau approve overtime,approval
cek sisa cuti,balance
sisa cuti gua,balance
cuti saya tinggal berapa,balance
cuti sisa berapa,balance
sisa cuti saya,balance
sisa cuti sy,balance
cuti saya brp lg y,balance
cuti sy sisa brp lagi,balance
cuti saya brp lg ya,balance
sisa cuti,balance
jumlah cuti,balance
total cuti,balance
saya punya cuti berapa,balance
Saldo klaim reimbursement,balance
lihat saldo cuti,balance
cutiku tinggal brapa,balance
berapa saldo cutiku,balance
saldo cutiku?,balance
cutiku tinggal berapa,balance
berapa cuti saya?,balance
saya mau lihat balance reimbursement medical,balance
mau liat sisa reimburse dong,balance
saya mau lihat balance reimburse,balance
lihat balance,balance
mau lihat saldo reimbursement medical,balance
aku mau lihat leave balance dong,balance
lihat balance cuti,balance
saldo reimbursement medical,balance
mau liat sisa reimbursement medical dong,balance
saldo cuti dong,balance
leave balance,balance
jatah cuti aku sisa berapa ya?,balance
saldo cuti,balance
reimbursement balance,balance
saldo cuti aku berapa?,balance
berapa saldo cuti saya?,balance
mau lihat saldo cuti,balance
reimbursement saldo,balance
berapa saldo cuti gw?,balance
ga jadi deh thanks,cancel
batal,cancel
batal ya,cancel
batal dong,cancel
tidak jadi dong,cancel
gajadi dong,cancel
ga jadi dong,cancel
batalin dong,cancel
gk jd,cancel
g jadi,cancel
gk jadi,cancel
batalin aja,cancel
batal ah,cancel
ga usah,cancel
ga mau,cancel
oh ga jadi deh,cancel
nggak jadi,cancel
gajadi deh,cancel
ga jadi,cancel
"aduh, ga jadi aja deh",cancel
tidak jadi deh,cancel
ga jadi deh thnks,cancel
gak jadi,cancel
gajadi,cancel
nggak jadi deh,cancel
ga jadi deh,cancel
hapus context,cancel
delete context,cancel
tidak jadi,cancel
batal deh,cancel
ga jadi boy,cancel
cancel,cancel
ga jadi aja deh,cancel
kamu bisa apa sih,help
bantu saya dong,help
caranya bagaimana?,help
bagaimana cara pakai chatbot ini?,help
"tolong, saya tidak tahu harus ngapain?",help
bagaimana cara pakai ini?,help
saya bisa ngapain aja?,help
apa ini?,help
bisa apa?,help
bantuan,help
Fitur apa yang saya punya,help
Fitur apa yang bisa kamu lakukan,help
cara pakainya bagaimana ya?,help
tolong,help
fiturnya apa aja ya?,help
help,help
ini bisa ngapain aja ya?,help
apa yang bisa saya lakukan?,help
bantuan,help
bantuin,help
mau lembur gan 11 januari 2013,overtime
mau lembur gan,overtime
saya mau overtime 1 januari 2019 ya,overtime
overtime tanggal 1 maret 2019,overtime
overtime,overtime
"Claudia, aku mau request overtime",overtime
mau overtime dong,overtime
lembur dong,overtime
"ga jadi deh, lembur aja",overtime
lembur tanggal 1 jam 8 malam - jam 10 malam,overtime
mau lembur hari ini jam 1 - jam 3,overtime
Aku mau lembur donk,overtime
Aku mau lembur,overtime
Aku mau lembur besok,overtime
mau lembur,overtime
Aku mau lembur besok jam 8 malam sampai jam 10 malam,overtime
"ga jadi, lembur aja",overtime
mau lembur dong besok jam 3 sampai jam 4,overtime
lembur tanggal 1 ya,overtime
ga jadi deh lembur aja,overtime
Aku mau lembur 19 September jam 8 malam sampai jam 10 malam,overtime
mau ajuin lembur donk,overtime
ajukan overtime,overtime
ajukan lembur,overtime
lembur besok,overtime
eh ga jadi deh jadinya lembur,overtime
lembur hari ini jam 1 - 3,overtime
mau lembur tanggal 1 maret 2018,overtime
Aku mau lembur jam 10 sampai jam 5,overtime
ajukan reimbursement,reimburse
reimbursement,reimburse
reimburse,reimburse
mau reimburse entertainment,reimburse
reimburse untuk medis,reimburse
entry reimbursement,reimburse
Saya mau reimburse,reimburse
Mau reimburse struk saya dong,reimburse
Mau klaim reimbursement,reimburse
reimbursement entry,reimburse
mau reimburse,reimburse
reimbursement travel,reimburse
Bu apa aturannya tentang absensi perusahaan?,ask_absence_attendance_status_policy
aturan absensi,ask_absence_attendance_status_policy
Bagaimana aturan mengenai ketidakhadiran baik cuti/sakit?,ask_absence_attendance_status_policy
bagaimana aturan absen perusahaan,ask_absence_attendance_status_policy
Apa saja detail informasi aturan ketidakhadiran perusahaan?,ask_absence_attendance_status_policy
Mau nanya dong bu mengenai peraturan absensi di GDP Labs itu bagaimana ya ?,ask_absence_attendance_status_policy
Ada aturan khusus apa di kantor tentang kehadiran karyawan?,ask_absence_attendance_status_policy
bolehkah saya tau mengenai kebijakan untuk ketidakhadiran dan absensi di perusahaan?,ask_absence_attendance_status_policy
Boleh tau apa saja yang menjadi aturan absen di kantor?,ask_absence_attendance_status_policy
Boleh saya tahu aturan tentang absensi?,ask_absence_attendance_status_policy
Apa aturan yang berlaku mengenai ketidakhadiran / absensi di perusahaan ini?,ask_absence_attendance_status_policy
Bagaimana ketentuan kehadiran perusahaan ini?,ask_absence_attendance_status_policy
aturan absen dong,ask_absence_attendance_status_policy
bagaimana aturan absen kantor,ask_absence_attendance_status_policy
Apa saja peraturan yang harus diikuti ketika mengajukan ijin,ask_absence_attendance_status_policy
"Maaf, saya mau nanya terkait aturan absensi perusahaan. Itu seperti apa ya?",ask_absence_attendance_status_policy
Aturan absennya gimana?,ask_absence_attendance_status_policy
Bagaimana aturan ketika absen?,ask_absence_attendance_status_policy
"Bu mau tanya, kalau izin sakit itu apakah harus pakai surat dokter?  Mau tanya, kalau tidak hadir saya harus izin ke siapa saja?",ask_absence_attendance_status_policy
Aturan absen apa yah?,ask_absence_attendance_status_policy
bagaimana aturan untuk ketidakhadiran?,ask_absence_attendance_status_policy
tolong berikan syarat absen apa,ask_absence_attendance_status_policy
bagaimana sih aturan absen?,ask_absence_attendance_status_policy
mau tau aturan ketidakhadiran dong,ask_absence_attendance_status_policy
Berapa lama saya bisa absen?,ask_absence_attendance_status_policy
Bagaimana aturan absen yang tersedia?,ask_absence_attendance_status_policy
Aturan absen,ask_absence_attendance_status_policy
Aturan ketidakhadiran,ask_absence_attendance_status_policy
biar bisa dapat bonus harus kerja berapa lama dulu ya?,ask_additional_income_prerequisite
biar bs dapat bonus harus kerja berapa lama dulu ya?,ask_additional_income_prerequisite
syarat untuk dapat THR gimana ya?,ask_additional_income_prerequisite
periode minimum untuk dapat THR berapa?,ask_additional_income_prerequisite
gimana cara dapet bonus?,ask_additional_income_prerequisite
syarat aku dapat bonus?,ask_additional_income_prerequisite
syarat bonus?,ask_additional_income_prerequisite
cara aku dapat penghasilan tambahan?,ask_additional_income_prerequisite
gimana supaya aku dapat additional income?,ask_additional_income_prerequisite
syarat dapet additional income?,ask_additional_income_prerequisite
prasyarat dapat additional income?,ask_additional_income_prerequisite
apa bisa dapet bonus kalau sudah resign?,ask_additional_income_prerequisite_after_terminated
Kalau resign ketentuan bonus nya gimana ya? Masih dapat atau enggak?,ask_additional_income_prerequisite_after_terminated
Apakah tetep mendapatkan bonus ketika ingin resign?,ask_additional_income_prerequisite_after_terminated
Nanti kalau resign dapat bonus ga?,ask_additional_income_prerequisite_after_terminated
"kalau sudah berhenti kerja, aturan dapat bonusnya gimana?",ask_additional_income_prerequisite_after_terminated
kalau setelah berhenti kerja apakah dapat bonus?,ask_additional_income_prerequisite_after_terminated
setelah resign berapa lama ya saya masih bisa dapat bonus?,ask_additional_income_prerequisite_after_terminated
syarat saya dapat bonus setelah resign gimana ya?,ask_additional_income_prerequisite_after_terminated
jika sudah resign syarat saya dapat THR?,ask_additional_income_prerequisite_after_terminated
periode maksimal setelah resign untuk saya bisa dapat THR berapa hari ya?,ask_additional_income_prerequisite_after_terminated
saya masih bisa dapat THR setelah resign berapa lama ya?,ask_additional_income_prerequisite_after_terminated
tunjangan overtime,ask_allowance
mau tau tunjangan overtime,ask_allowance
tunjangan shift,ask_allowance
tunjangan tanggal 14 Februari 2019,ask_allowance
tunjangan 2 Februari 2019,ask_allowance
tunjangan,ask_allowance
mau tau tunjangan shift saya,ask_allowance
berapa tunjangan harian saya hari ini?,ask_allowance
allowance,ask_allowance
shift allowance tanggal 18 November 2018,ask_allowance
shift allowance 19 Desember 2018,ask_allowance
daily allowance hari ini,ask_allowance
daily allowance 21 Januari,ask_allowance
tunjangan lembur,ask_allowance_select_type
tunjangan shift,ask_allowance_select_type
tunjangan harian,ask_allowance_select_type
empat puluh tiga ribu aja,reimbursement_approval_ask_balance
23122322,reimbursement_approval_ask_balance
sejumlah 340 ribu ya,reimbursement_approval_ask_balance
15000 aja,reimbursement_approval_ask_balance
20 juta,reimbursement_approval_ask_balance
ya,overtime_approval_ask_confirmation
tidak,overtime_approval_ask_confirmation
ga,reimbursement_approval_ask_confirmation
tidak,reimbursement_approval_ask_confirmation
ya,reimbursement_approval_ask_confirmation
tidak berbayar,overtime_approval_ask_paid
berbayar,overtime_approval_ask_paid
empat,overtime_approval_ask_parameter
2,overtime_approval_ask_parameter
reject,overtime_approval_ask_parameter
reject semuanya,overtime_approval_ask_parameter
reject semua,overtime_approval_ask_parameter
lihat detail 1,overtime_approval_ask_parameter
next,overtime_approval_ask_parameter
setujui nomor 1,overtime_approval_ask_parameter
approve 2,overtime_approval_ask_parameter
bermasalah,overtime_approval_ask_parameter
setujui semua,overtime_approval_ask_parameter
setujui semuanya,overtime_approval_ask_parameter
detil no 1,overtime_approval_ask_parameter
setujui no 1 aja deh,overtime_approval_ask_parameter
detail no 1,overtime_approval_ask_parameter
approve 1,overtime_approval_ask_parameter
no 1 ya,overtime_approval_ask_parameter
tolak 4 soalnya ga bener isinya,overtime_approval_ask_parameter
approve nomor 1,overtime_approval_ask_parameter
tolak,overtime_approval_ask_parameter
detail 1,overtime_approval_ask_parameter
reject 1,overtime_approval_ask_parameter
setujui,overtime_approval_ask_parameter
approve nomor 1 ya,overtime_approval_ask_parameter
approve no 1,overtime_approval_ask_parameter
prev,overtime_approval_ask_parameter
approve,overtime_approval_ask_parameter
empat,reimbursement_approval_ask_parameter
2,reimbursement_approval_ask_parameter
reject,reimbursement_approval_ask_parameter
reject semuanya,reimbursement_approval_ask_parameter
reject semua,reimbursement_approval_ask_parameter
lihat detail 1,reimbursement_approval_ask_parameter
next,reimbursement_approval_ask_parameter
setujui nomor 1,reimbursement_approval_ask_parameter
approve 2,reimbursement_approval_ask_parameter
bermasalah,reimbursement_approval_ask_parameter
setujui semua,reimbursement_approval_ask_parameter
setujui semuanya,reimbursement_approval_ask_parameter
detil no 1,reimbursement_approval_ask_parameter
setujui no 1 aja deh,reimbursement_approval_ask_parameter
detail no 1,reimbursement_approval_ask_parameter
approve 1,reimbursement_approval_ask_parameter
no 1 ya,reimbursement_approval_ask_parameter
tolak 4 soalnya ga bener isinya,reimbursement_approval_ask_parameter
approve nomor 1,reimbursement_approval_ask_parameter
tolak,reimbursement_approval_ask_parameter
detail 1,reimbursement_approval_ask_parameter
reject 1,reimbursement_approval_ask_parameter
setujui,reimbursement_approval_ask_parameter
approve nomor 1 ya,reimbursement_approval_ask_parameter
approve no 1,reimbursement_approval_ask_parameter
prev,reimbursement_approval_ask_parameter
approve,reimbursement_approval_ask_parameter
template 99,overtime_approval_ask_template_number
nomor 99,overtime_approval_ask_template_number
yang nomor 99 deh,overtime_approval_ask_template_number
saya pilih template nomor 99,overtime_approval_ask_template_number
sembilan,overtime_approval_ask_template_number
99,overtime_approval_ask_template_number
reject,see_approval_detail_notification_ask_approve_reject
approve,see_approval_detail_notification_ask_approve_reject
no 1,absence_ask_absence_status_number
aku pilih 3,absence_ask_absence_status_number
4,absence_ask_absence_status_number
no 3 aja,absence_ask_absence_status_number
4 ya,absence_ask_absence_status_number
aku pilih 3 aja ya,absence_ask_absence_status_number
pilih yang ke-1,absence_ask_absence_status_number
yang pertama,absence_ask_absence_status_number
saya pilih nomor 3,absence_ask_absence_status_number
1,absence_ask_absence_status_number
nomor 4,absence_ask_absence_status_number
yang kedua,absence_ask_absence_status_number
aku pilih 3 ya,absence_ask_absence_status_number
no 4 aja deh,absence_ask_absence_status_number
3,absence_ask_absence_status_number
2,absence_ask_absence_status_number
pilih yang pertama,absence_ask_absence_status_number
20000,reimburse_ask_claimed_amount
10000,reimburse_ask_claimed_amount
ya,absence_ask_confirmation
tidak,absence_ask_confirmation
ga,absence_ask_confirmation
tidak,approval_ask_confirmation
ya,approval_ask_confirmation
tidak,overtime_ask_confirmation
ya,overtime_ask_confirmation
ga,overtime_ask_confirmation
tidak,reimburse_ask_confirmation
ga,reimburse_ask_confirmation
ya,reimburse_ask_confirmation
besok jam 10 malam - 11 malam cuy,overtime_ask_date
lemburnya 20 desember 2019 jam 10 malam - 11 malam ya,overtime_ask_date
lemburnya tanggal 20 desember 2019 ya,overtime_ask_date
besok ya,overtime_ask_date
besok deh,overtime_ask_date
tanggal 18 februari 2019,overtime_ask_date
dua,reimburse_ask_family_member
satu,reimburse_ask_family_member
1,reimburse_ask_family_member
10,reimburse_ask_family_member
tanggal 10 - 11 desember 2019,absence_ask_parameter
tanggal 10-11 desember 2019,absence_ask_parameter
1 Januari 2019 - 4 Januari 2019,absence_ask_parameter
tanggal 4 aja deh,absence_ask_parameter
18 September sampai 20 September,absence_ask_parameter
tanggal 4 ya alasannya pengen refreshing bentar,absence_ask_parameter
tanggal 11 ya,absence_ask_parameter
tanggak 1 april 2018 - 2 april 2018 untuk keperluan keluarga,absence_ask_parameter
tanggal 1 januari 2018 alasannya pengen aja,absence_ask_parameter
tanggal 5 karena mau ke luar kota,absence_ask_parameter
tanggal 18 September sampai 20 September,absence_ask_parameter
tanggal 24 ini ya soalnya teman saya sakit,absence_ask_parameter
tanggal 2 juli 2018 karena teman saya ada yang meninggal,absence_ask_parameter
tanggal 1 maret 2019 - 2 maret 2019,absence_ask_parameter
mau tanggal 10 ya karena ada urusan mendadak,absence_ask_parameter
tanggal 4 - tanggal 8 untuk menikahkan anak saya,absence_ask_parameter
mau tanggal 1 maret 2019 - 2 maret 2019,absence_ask_parameter
tanggal 1 juli 2018 sampai 2 juli 2018 soalnya males nih,absence_ask_parameter
tanggal 11 januari 2018 dengan alasan pengen menikmati hidup,absence_ask_parameter
tanggal 11 ya karena mau cuti aja,absence_ask_parameter
"karena saya harus pergi ke jakarta, jadinya tanggal 1 aja",absence_ask_parameter
tanggal 1 juli 2018 - 2 juli 2018 soalnya males nih,absence_ask_parameter
tanggal 5 aja ya,absence_ask_parameter
tanggal 25 juli ya,absence_ask_parameter
5 Juni sampai 7 Juni aja,absence_ask_parameter
tanggal 18 September,absence_ask_parameter
tanggal 4 ya dengan alasan ke rumah pacar,absence_ask_parameter
tanggal 4 aja,absence_ask_parameter
tanggal 1 aja ya karena udah capek,absence_ask_parameter
"reject 1, 2, 3",approval_ask_parameter
"detail 1, 2, 3",approval_ask_parameter
"reject 1, 2, 3, dan 5",approval_ask_parameter
"approve 1, 2, 3, 4",approval_ask_parameter
"detail 1, 2, 3, dan 4",approval_ask_parameter
"detail 1, 2, 3, 4",approval_ask_parameter
"approve 1,2",approval_ask_parameter
"detail 1,2",approval_ask_parameter
lihat detil no 1,approval_ask_parameter
"detail 1, 2, dan 3",approval_ask_parameter
"approve 1, 2, dan 3",approval_ask_parameter
"approve 1, 2, 3",approval_ask_parameter
approve 1 dan 3,approval_ask_parameter
reject semua karena bermasalah,approval_ask_parameter
approve nomor 1 dan 2,approval_ask_parameter
karena hari sibuk,approval_ask_parameter
approve nomor 1 dan 2 ya,approval_ask_parameter
tolak 4 soalnya ga bener isinya,approval_ask_parameter
reject semua ajalah,approval_ask_parameter
tolak,approval_ask_parameter
"mau lihat detil no 1, 2, dan 3",approval_ask_parameter
approve,approval_ask_parameter
reject 1 dan 2,approval_ask_parameter
detil 1 dan 2,approval_ask_parameter
approve semua deh,approval_ask_parameter
detil no 1,approval_ask_parameter
setujui 1,approval_ask_parameter
tolak all soalnya isinya pada ga bener,approval_ask_parameter
reject 1,approval_ask_parameter
detail 1 2,approval_ask_parameter
approve all,approval_ask_parameter
next,approval_ask_parameter
lihat detail no 1,approval_ask_parameter
tolak yang no 4 ya,approval_ask_parameter
approve 1 dan 2,approval_ask_parameter
males gw,approval_ask_parameter
setujui,approval_ask_parameter
approve no 1,approval_ask_parameter
lihat detail 1,approval_ask_parameter
approve 1,approval_ask_parameter
1 dan 2,approval_ask_parameter
1,approval_ask_parameter
"1, 2, dan 3",approval_ask_parameter
setujui no 1,approval_ask_parameter
prev,approval_ask_parameter
detail no 2,approval_ask_parameter
bermasalah,approval_ask_parameter
detail 1 2 3 4,approval_ask_parameter
reject 1 dan 2 dengan alasan kurang meyakinkan,approval_ask_parameter
lihat detil 1,approval_ask_parameter
"detil no 1, 2, dan 3",approval_ask_parameter
reject,approval_ask_parameter
nomor satu ya,reimburse_ask_reimbursement_item_number
aku mau nomor 2,reimburse_ask_reimbursement_item_number
nomor satu,reimburse_ask_reimbursement_item_number
saya pilih 2 ya,reimburse_ask_reimbursement_item_number
nomor 2 dong,reimburse_ask_reimbursement_item_number
nomor 2,reimburse_ask_reimbursement_item_number
mau nomor 2 ya,reimburse_ask_reimbursement_item_number
jam 8 malam sampai jam 10 malam,overtime_ask_start_time
jam 8 malam sampai 10 malam,overtime_ask_start_time
11 malam,overtime_ask_start_time
10,overtime_ask_start_time
jam 10,overtime_ask_start_time
jam 10 - 11 malam ya,overtime_ask_start_time
jam 10 malam sampai 11 malam ya,overtime_ask_start_time
kalau terlambat perhitungannya gimana?,ask_attendance_formula
perhitungan terlambat,ask_attendance_formula
cara perhitungan kalau telat,ask_attendance_formula
mau lihat formula terlambat,ask_attendance_formula
formula telat,ask_attendance_formula
formula keterlambatan,ask_attendance_formula
rincian saldo cuti,leave_balance_detail
kenapa segitu ya?,leave_balance_detail
kenapa segitu ya saldo cuti saya?,leave_balance_detail
kenapa saldo cuti tinggal segitu?,leave_balance_detail
Kok saldo cuti aku segitu ya?,leave_balance_detail
Minta detail saldo cuti donk,leave_balance_detail
Kok saldo cuti aku tinggal segitu ya?,leave_balance_detail
"Kok, saldo cuti aku tinggal 8 ya?",leave_balance_detail
Mau nanya dong bu mengenai prosedur penambahan anggota keluarga pada BPJS saya bagaimana ya ? apakah ada kriteria tertentu ?,ask_bpjs_additional_family
"Permisi, boleh tau ketentuan apa saja untuk menambah anggota keluarga di BPJS?",ask_bpjs_additional_family
Saya ingin menambahkan anggota keluarga pada list BPJS Kesehatan saya,ask_bpjs_additional_family
"Saya mau nanya, apakah bisa menambahkan anggota keluarga pada BPJS saya?",ask_bpjs_additional_family
Kalo nambah anggota keluarga di BPJS gimana?,ask_bpjs_additional_family
Apakah ada ketentuan tertentu untuk penambahan anggota keluarga?,ask_bpjs_additional_family
"Siang, mau tanya kalau saya mau menambah tanggungan di bpjs kesehatan apakah bisa?",ask_bpjs_additional_family
apa ketentuan penambahan anggota keluarga untuk BPJS?,ask_bpjs_additional_family
jenis anggota keluarga di bpjs,ask_bpjs_additional_family
anggota keluarga yang bisa didaftarkan di bpjs apa saja ya?,ask_bpjs_additional_family
tambahan anggota keluarga di bpjs,ask_bpjs_additional_family
bpjs additional family,ask_bpjs_additional_family
keluarga yang bisa ditambahkan ke bpjs apa saja?,ask_bpjs_additional_family
Berapa nomor BPJS kesehatan saya?,ask_bpjs_membership
Bu nomor BPJS saya berapa yah?,ask_bpjs_membership
berapa nomor BJPS saya,ask_bpjs_membership
Nomor bpjs kesehatan saya apa ya?,ask_bpjs_membership
Berapa nomor BPJS milik saya?,ask_bpjs_membership
nomor bpjs atas nama Felix Tanamas berapa?,ask_bpjs_membership
Apa nomor BPJS saya?,ask_bpjs_membership
Eh BPJS saya berapa ya nomornya?,ask_bpjs_membership
Mau nanya dong bu mengenai nomor BPJS saya berapa ya ?,ask_bpjs_membership
Boleh tau nomor BPJS saya?,ask_bpjs_membership
"Permisi Claudia, bisa tau nomor BPJS gw apa?",ask_bpjs_membership
mba no BPJS saya berapa ya?,ask_bpjs_membership
"selamat siang, apakah saya bisa tahu nomor BPJS saya?",ask_bpjs_membership
"Maaf, boleh tau nomor BPJS saya yang terdaftar?",ask_bpjs_membership
Boleh saya tahu nomor BPJS saya?,ask_bpjs_membership
Boleh saya minta nomor BPJS terdaftar saya,ask_bpjs_membership
Berapa nomor kepesertaan BPJS Ketenagakerjaan / BPJS Kesehatan saya?,ask_bpjs_membership
nomor bpjs saya,ask_bpjs_membership
nomor bpjs saya berapa,ask_bpjs_membership
"Saya mau tanya, nomor BPJS saya berapa ya?",ask_bpjs_membership
Nomor BPJSku berapa?,ask_bpjs_membership
nomor bpjs saya berapa ya?,ask_bpjs_membership
"Siang, saya mau konfirmasi nomor bpjs saya yang terdaftar di perusahaan.",ask_bpjs_membership
Nomor BPJS saya apa yah?,ask_bpjs_membership
mau tau nomor bpjs ks sama bpjs tk ya,ask_bpjs_membership
mau tau nomor bpjs ks ya,ask_bpjs_membership
berapa no bpjs saya ya?,ask_bpjs_membership
mau tau nomor bpjs saya,ask_bpjs_membership
no bpjs,ask_bpjs_membership
nomor bpjs kesehatan dan ketenagakerjaan aku dong,ask_bpjs_membership
nomor bpjs manpower aku dong,ask_bpjs_membership
nomor bpjs healthcare aku dong,ask_bpjs_membership
nomor bpjs ketenagakerjaan aku dong,ask_bpjs_membership
nomor bpjs kesehatan aku dong,ask_bpjs_membership
nomor bpjs aku dong,ask_bpjs_membership
saya didaftarin bpjs kesehatan kelas berapa?,ask_bpjs_treatment_class
bpjs kesehatan kelas berapa saya?,ask_bpjs_treatment_class
bpjs kelas brp saya?,ask_bpjs_treatment_class
kelas bpjs yang kudapat apa ya,ask_bpjs_treatment_class
kelas bpjs yang didaftarkan oleh company itu kelas berapa ya?,ask_bpjs_treatment_class
BPJS kelas apa yang saya dapat?,ask_bpjs_treatment_class
Ini BPJS yang didaftarkan kantor di kelas berapa ya?,ask_bpjs_treatment_class
kelas bpjs yang didaftarin apa yah?,ask_bpjs_treatment_class
Kelas BPJS saya kelas brapa?,ask_bpjs_treatment_class
Mau tau level BPJS saya ya.,ask_bpjs_treatment_class
Level BPJS saya berapa ya?,ask_bpjs_treatment_class
BPJS gw itu kelas berapa?,ask_bpjs_treatment_class
Untuk BPJS saya didaftarkan pada kelas apa?,ask_bpjs_treatment_class
kelas bpjs saya apa ya?,ask_bpjs_treatment_class
saya di kelas bpjs berapa?,ask_bpjs_treatment_class
mau tau kelas bpjs saya,ask_bpjs_treatment_class
bpjs saya kelas berapa ya?,ask_bpjs_treatment_class
kelas bpjs kesehatan aku dong,ask_bpjs_treatment_class
"batal absen 2 maret 2018, 10 maret 2018 sampai 13 maret 2018",absence_cancellation
"batal ketidakhadiran 2 maret 2018, 10 maret 2018, 4 maret 2018, dan 5 maret 2018",absence_cancellation
aku mau membatalkan absen dari 2 maret 2018 - 3 desember 2018,absence_cancellation
tolong batalkan absen besok ya,absence_cancellation
batalkan ketidakhadiran 1 januari dan 3 januari,absence_cancellation
"batalkan absen tanggal 2, tanggal 3, dan tanggal 4",absence_cancellation
batalin absen dong 1 oktober - 12 oktober,absence_cancellation
cancel absen tanggal 31 ya,absence_cancellation
mau batal tidak hadir tanggal 24 aja ya,absence_cancellation
aku mau membatalkan absen dari tanggal 2 maret 2018 sampai 3 desember 2018,absence_cancellation
cancel  absen 1 januari 2018 sampai besok,absence_cancellation
batal ketidakhadiran tanggal 9 maret 2018 dan 30 april 2018,absence_cancellation
mau cancel absen tanggal 1 januari 2018 sampai 1 desember 2018,absence_cancellation
mau cancel ketidakhadiran tanggal 28 maret 2018,absence_cancellation
batal absen tanggal 1 ini,absence_cancellation
pembatalan absen,absence_cancellation
pembatalan ketidakhadiran,absence_cancellation
mau cancel absen,absence_cancellation
mau cancel ketidakhadiran,absence_cancellation
mau ga jadi tidak hadir,absence_cancellation
mau absence cancellation dong,absence_cancellation
gw mau cancel ketidakhadiran,absence_cancellation
gw mau cancel absen,absence_cancellation
aku mau membatalkan absen,absence_cancellation
aku mau membatalkan ketidakhadiran,absence_cancellation
batal ketidakhadiran,absence_cancellation
batal absen,absence_cancellation
cancel absen dong,absence_cancellation
batalkan absen,absence_cancellation
cancel ketidakhadiran dong,absence_cancellation
batalkan ketidakhadiran,absence_cancellation
cancel absence,absence_cancellation
batal cuti,leave_cancellation
batalin cuti,leave_cancellation
mau batal cuti dong,leave_cancellation
mau cancel leave tanggal 1 januari 2018 - 1 desember 2018,leave_cancellation
mau cancel leave tanggal 1 januari 2018 - hari ini,leave_cancellation
pembatalan cuti tanggal 1 ini,leave_cancellation
mau cancel cuti tanggal 28 maret 2018,leave_cancellation
mau cancel leave tanggal 1 januari 2018 sampai 1 desember 2018,leave_cancellation
batal cuti tanggal 9 maret 2018 dan 30 april 2018,leave_cancellation
leave cancellation dong,leave_cancellation
pembatalan cuti,leave_cancellation
mau cancel leave tanggal 1 januari 2018 sampai besok,leave_cancellation
aku mau membatalkan cuti dari tanggal 2 maret 2018 sampai 3 desember 2018,leave_cancellation
mau cancel leave,leave_cancellation
batal cuti tanggal 24 aja ya,leave_cancellation
cancel leave tanggal 31 ya,leave_cancellation
batal cuti 1 sampai 12 oktober,leave_cancellation
mau batal cuti,leave_cancellation
batal cuti 9 maret,leave_cancellation
mau cancel cuti,leave_cancellation
mau ga jadi cuti,leave_cancellation
